epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.991,1.53802,1.33508,1.29181,0.0354,0.05542,0.00848,0.00282,3.89369,11.4347,8.6832,0.000659722,0.000659722,0.000659722
2,290.287,1.69344,1.37147,1.42317,0.19239,0.38347,0.15389,0.07408,2.15718,9.22307,2.02868,0.00129356,0.00129356,0.00129356
3,431.536,1.64423,1.28373,1.38803,0.47035,0.3534,0.32131,0.12961,2.28121,6.82594,2.01417,0.0018944,0.0018944,0.0018944
4,572.386,1.62363,1.27136,1.38312,0.66276,0.51669,0.56316,0.26959,1.95437,3.04983,1.77576,0.0018515,0.0018515,0.0018515
5,713.349,1.54344,1.16237,1.33589,0.62798,0.53417,0.57753,0.29641,1.81925,1.93406,1.56516,0.001802,0.001802,0.001802
6,854.2,1.50019,1.09675,1.31015,0.76135,0.60608,0.68757,0.37021,1.71613,1.52701,1.52423,0.0017525,0.0017525,0.0017525
7,995.029,1.45564,1.02503,1.27493,0.69404,0.55695,0.62763,0.32161,1.79838,1.80741,1.55885,0.001703,0.001703,0.001703
8,1135.72,1.40216,0.96992,1.24007,0.7883,0.59028,0.68429,0.38357,1.66279,1.48565,1.46257,0.0016535,0.0016535,0.0016535
9,1276.61,1.38901,0.9542,1.24043,0.82371,0.64422,0.75503,0.43058,1.57701,1.1586,1.39358,0.001604,0.001604,0.001604
10,1417.84,1.34611,0.89792,1.21172,0.80779,0.64367,0.737,0.42215,1.60924,1.20177,1.41578,0.0015545,0.0015545,0.0015545
11,1558.37,1.31773,0.87479,1.2052,0.81508,0.68034,0.77278,0.45344,1.56189,1.16605,1.39131,0.001505,0.001505,0.001505
12,1699.18,1.31848,0.87304,1.19426,0.83691,0.67998,0.77435,0.43761,1.59986,1.10528,1.38857,0.0014555,0.0014555,0.0014555
13,1839.75,1.31181,0.84481,1.19292,0.85007,0.66229,0.76612,0.457,1.5229,1.10454,1.35723,0.001406,0.001406,0.001406
14,1980.3,1.27493,0.83361,1.17726,0.83393,0.68529,0.77999,0.46718,1.54493,1.07209,1.35061,0.0013565,0.0013565,0.0013565
15,2121.08,1.2687,0.81384,1.17353,0.85232,0.68594,0.78814,0.4836,1.48956,1.02488,1.33774,0.001307,0.001307,0.001307
16,2261.75,1.26129,0.79964,1.16562,0.80889,0.72288,0.80066,0.48638,1.47063,1.01053,1.33268,0.0012575,0.0012575,0.0012575
17,2402.42,1.23732,0.77694,1.14665,0.80659,0.71577,0.79271,0.47958,1.52118,1.0064,1.35678,0.001208,0.001208,0.001208
18,2542.91,1.23334,0.77067,1.15193,0.84523,0.7062,0.80352,0.49368,1.47862,1.00122,1.31633,0.0011585,0.0011585,0.0011585
19,2683.81,1.20687,0.7441,1.1365,0.86689,0.69858,0.80235,0.50019,1.44318,0.99571,1.30202,0.001109,0.001109,0.001109
20,2824.66,1.18627,0.7304,1.12621,0.86444,0.7062,0.81652,0.51367,1.41579,0.98402,1.29381,0.0010595,0.0010595,0.0010595
21,2965.64,1.19265,0.7251,1.13239,0.83309,0.70143,0.7936,0.49406,1.45759,1.00697,1.3043,0.00101,0.00101,0.00101
22,3106.4,1.16795,0.71096,1.12007,0.86594,0.72646,0.82425,0.50862,1.43893,0.94709,1.29543,0.0009605,0.0009605,0.0009605
23,3246.96,1.16334,0.69901,1.1162,0.8502,0.73396,0.82076,0.50379,1.42817,0.92716,1.2779,0.000911,0.000911,0.000911
24,3388.02,1.14378,0.68255,1.1056,0.86856,0.74136,0.82859,0.53092,1.39082,0.91148,1.26575,0.0008615,0.0008615,0.0008615
25,3529.18,1.12761,0.67039,1.09304,0.85935,0.76465,0.83806,0.53552,1.39067,0.85952,1.2777,0.000812,0.000812,0.000812
26,3669.96,1.13458,0.66769,1.10055,0.87058,0.74791,0.83908,0.53674,1.3993,0.88363,1.26859,0.0007625,0.0007625,0.0007625
27,3810.58,1.09161,0.64846,1.07932,0.89776,0.73778,0.83973,0.53542,1.39553,0.87668,1.26916,0.000713,0.000713,0.000713
28,3951.45,1.08799,0.63674,1.08124,0.87448,0.75565,0.84512,0.5367,1.39017,0.86927,1.2598,0.0006635,0.0006635,0.0006635
29,4092.63,1.08295,0.62028,1.07274,0.86248,0.75387,0.83683,0.53992,1.3805,0.86133,1.24851,0.000614,0.000614,0.000614
30,4233.33,1.0786,0.62449,1.06874,0.88146,0.75209,0.84653,0.54626,1.37283,0.83624,1.25083,0.0005645,0.0005645,0.0005645
31,4375.74,1.05559,0.58503,1.06555,0.86446,0.74911,0.83687,0.54454,1.36084,0.87417,1.23606,0.000515,0.000515,0.000515
32,4516.64,1.03881,0.56436,1.05905,0.88329,0.75268,0.85302,0.55055,1.35903,0.82558,1.22666,0.0004655,0.0004655,0.0004655
33,4657.4,1.0344,0.55142,1.05496,0.87652,0.764,0.85207,0.55309,1.35357,0.81361,1.2308,0.000416,0.000416,0.000416
34,4798.24,1.00425,0.53874,1.03892,0.89278,0.76818,0.85752,0.56035,1.34326,0.80638,1.24447,0.0003665,0.0003665,0.0003665
35,4939.17,0.99927,0.53222,1.0348,0.89962,0.77592,0.8641,0.57221,1.32908,0.80065,1.2286,0.000317,0.000317,0.000317
36,5079.87,0.97509,0.51701,1.03466,0.88183,0.78308,0.86514,0.57206,1.34422,0.77679,1.22895,0.0002675,0.0002675,0.0002675
37,5220.48,0.96735,0.50386,1.02281,0.89065,0.77662,0.8628,0.57561,1.32004,0.76934,1.21438,0.000218,0.000218,0.000218
38,5360.88,0.95031,0.49813,1.01706,0.89009,0.78129,0.86231,0.5758,1.31333,0.7898,1.22258,0.0001685,0.0001685,0.0001685
39,5501.49,0.93878,0.4859,1.01424,0.90108,0.77628,0.86356,0.57725,1.32235,0.76739,1.22691,0.000119,0.000119,0.000119
40,5642.61,0.92213,0.47414,1.00422,0.89629,0.78286,0.86829,0.58008,1.31553,0.75795,1.21737,6.95e-05,6.95e-05,6.95e-05
